l’âge,de leeftijd
pile ou face,kop of munt
planter sa tente,zijn tent opzetten / de tent opzetten / je tent opzetten
se rendre compte,beseffen
suivre un itinéraire,een route volgen
aménager,inrichten
convivial,gezellig
haut de gamme,van goede kwaliteit
insolite,ongewoon / ongebruikelijk
l’accueil,de ontvangst
la détente,de ontspanning
la literie,het beddengoed
prévoir,plannen
un escalier,een trap
un relais paisible,een rustige stopplaats
une échelle,een ladder
une péniche,een aak
une roulotte,een woonwagen
accessible,toegankelijk
au départ,in het begin
compter faire,van plan zijn
doubler,voeren (van een tas of meubel) / voeren
économe / économes,zuinig / goedkoop
l’humidité,de vochtigheid
l’intempérie,het slechte weer
le déplacement,de verplaatsing / de reis
le dessus,de bovenkant
le fond,de bodem
nombre de pays,veel landen
pointu / pointues,scherp
privilégier,voorrang geven aan
protéger,beschermen
rude,ruw / hard
s’encombrer,zich belasten
sachez / savoir,weet / besef
sinon,anders / zoniet
superflu / superflues,overbodig
un creux,een holte / een gat
un sac à dos,een rugzak
un sac poubelle,een vuilniszak
voyager léger,met weinig bagage reizen
atterrir,landen
casser les prix,onder de prijs verkopen
débourser,uitgeven
être à la portée de,binnen het bereik zijn van
être fortuné,rijk zijn
l’altitude,de hoogte
multiplier,vermenigvuldigen
dépasser,inhalen
l’épreuve,de wedstrijd
le chiffre d’affaires,de omzet
le courage,de moed
le patrimoine,het erfgoed
le pneu,de band
le responsable,de verantwoordelijke persoon / de verantwoordelijke
le tournant,de bocht
le volant,het stuur
récurrent,steeds terugkerend / terugkerend
sur le bord de la route,aan de rand van de weg / aan de kant van de weg
aanbieden,proposer
de weersvoorspelling,les prévisions météo
een aansluiting,une correspondance
een loket,un guichet
erbij inbegrepen,inclus / incluse
het netwerk,le réseau
hetzelfde tarief,le même tarif
iets voor elkaar krijgen,se débrouiller
invoeren,introduire
op dit ogenblik,pour l’instant
raadplegen,consulter
een stoel,un siège
verbinding maken met,se brancher sur
verhinderen,empêcher de
vol,complet / complète
zich vergissen,se tromper
Er is zon.,Il y a du soleil.
Het is 20 graden.,Il fait 20 degrés.
Het is fris.,Il fait frais.
Het is min 5 graden.,Il fait moins 5 degrés.
Het was erg mooi weer.,Il faisait très beau.
Het wordt 12 graden.,Il va faire 12 degrés.
Ik zou graag willen weten …,J’aimerais savoir
Op de website zie ik dat …,Sur le site internet je vois que
Wat voor weer wordt het?,Quel temps fera-t-il?
Dat zou geweldig zijn.,Ce serait formidable.
De tweede klas zit vol.,La deuxième classe est complète.
Excuses voor het ongemak.,Désolé pour ce désagrément
Hij vertrekt van spoor 12.,Il part de la voie 12.
Hoe heb je dat voor elkaar gekregen?,Comment tu as fait?
Ik ga dat regelen.,Je vais régler ça.
Ik ga een oplossing voor u vinden.,Je vais vous trouver une solution.
Jullie zitten in wagon 5. / U zit in wagon 5.,Vous êtes en voiture 5.
Kunt u ons helpen?,Pourriez-vous nous aider?
Van welk spoor vertrekt de trein?,Le train part de quelle voie?
de slimme keuze,le choix malin
een bewaakte parkeerplaats,un parking surveillé
een lopend buffet,un buffet à volonté
een openbare ruimte,un espace public
een vergaderzaal,une salle de réunion
een verwarmd zwembad,une piscine chauffée
gehandicapt,à mobilité réduite
geluidsdicht,insonorisé / insonorisées
het verblijf,le séjour
langs,le long de
uitgerust met,équipé de
de kamers voorzien van airco,les chambres climatisées
een goed ingerichte ruimte,un espace bien aménagé
gaan naar,aller vers
gebruik maken van,se servir de
in de buurt van,à proximité de
inbegrepen zijn,être compris
van plan zijn om,avoir l’intention de
voor een kleine prijs,à petit prix
zich tot iemand richten,s’adresser à quelqu’un
mettre en place,klaarzetten
le saisonnier,de seizoenwerker
le plat,het gerecht
le jour de congé,de vrije dag
se reposer,uitrusten
les horaires,de werktijden / het werkrooster
faire la plonge,afwassen
faire le service,de bediening doen
reprendre,het werk hervatten / hervatten
le serveur,de ober
effectuer,uitvoeren / klaarmaken
le jour de repos,de vrije dag / de rustdag
autant de,net zoveel / net zoveel als
la chance,het geluk
dès que,zodra
se faire comprendre,zich duidelijk maken
ça se dit,het wordt gezegd
comme ça,zo / op die manier
rattacher à,binden met / verbinden met
type,gemiddeld / standaard
uniquement,uitsluitend / alleen maar
plutôt,meer / eerder
affirmer,beweren / verklaren
avoir à disposition,ter beschikking hebben
désormais,voortaan / vanaf nu / vanaf heden
infini,grenzeloos / onbegrensd / eindeloos
l’assurance,de verzekering / de zekerheid
l’attitude,de houding
l’émergence,de opkomst
l’offre et la demande,vraag en aanbod
la catastrophe naturelle,de natuurramp
la misère,de armoede / de ellende
la population locale,de lokale bevolking
la vie rangée,het keurige leventje
la ville déserte,de verlaten stad
le prix cassé,de bodem prijs
les possibilités infinies,de grenzeloze mogelijkheden
s’insurger contre,in opstand komen tegen
sans cesse,voortdurend / onophoudelijk
se consacrer à,zich wijden aan
surprenant,verbazingwekkend
à tout jamais,voor altijd
déborder,overlopen
émerveiller,verbaasd doen staan / verbazen / doen verbazen
émouvoir,ontroeren
être en éveil,geprikkeld worden
être interpellé,geroepen worden
fixer quelqu’un,iemand aanstaren
la descente,het uitstappen
la senteur,de geur
le cri,de schreeuw
le feu d’artifice,het vuurwerk
le vif du sujet,de kern van de zaak / er middenin
longer la côte,langs de kust lopen
prépondérant / prépondérante,overwegend / overheersend
saisissant,adembenemend
tant à …,zowel op … / zowel op
un ravissement pour les yeux,een streling voor het oog
une épice,een kruid / een specerij
venir de + infinitif,zojuist … / zojuist
vif / vive,fel / hevig
améliorer,verbeteren
autant … que … / autant que,zowel … als … / zowel als
collectif,gezamenlijk
être habitué à,gewend zijn om / gewend zijn aan
garder,houden
l’environnement,de omgeving
l’espoir,de hoop
la lutte,het gevecht
le désert,de woestijn
le jumelage,de stedenband
le paysage,het landschap
le peuple,het volk
occidental,westers
passer,overbrengen
recueillir,opvangen / verzamelen
soutenir,steunen
un souvenir,een herinnering
un accompagnateur,een groepsleidster / een groepsleider
un étudiant,een studente / een student
une opportunité,een buitenkans
afin de,om te
branché / branchés,hip / modern
contribuer,bijdragen
déjà,al
écolo,milieufreak
la balade,de wandeling
le cas,het geval
le commerce équitable,de eerlijke handel
le fondateur,de oprichter
le réseau d’amis,het vriendennetwerk
le retraité,de gepensioneerde
le sondage,de peiling
même,zelfs
nommer,noemen
plus exactement,preciezer
recevoir,krijgen / ontvangen
afgezien van,à part
bezig zijn met …,être en train de
het nummerbord,la plaque d’immatriculation
de tent opzetten,monter la tente
een plattegrond,un plan
een vreemde taal,une langue étrangère
enig kind,fille unique
het is… geleden,il y a + adverbe de temps
het profiel,la filière
het toeval,la coïncidence
in ieder geval,en tout cas
kletsen,bavarder
op straat,dans la rue
verlevendigen,animer
verplicht zijn om …,être obligé de
zojuist …,venir de + infinitif / venir de
Dat lijkt me …,Ça me semble
Hoe kan het dat …,Comment ça se fait que
Ik heb er geen meer.,Je n’en ai plus.
Mijn ouders zijn gescheiden.,Mes parents ont divorcé.
Mijn vader is hertrouwd met …,Mon père s’est remarié avec
Wat houdt dat feest in?,"C’est quoi, cette fête?"
Zou u ons kunnen uitleggen hoe …,Pourriez-vous nous expliquer comment
dolblij zijn met,être ravi de
enkele dagen geleden,il y a quelques jours
hoe erg,à quel point
een kampeerplek,un emplacement
ruim,spacieux / spacieuse
een verblijfplaats,une résidence
een vrije dag,un jour de repos
zonovergoten,ensoleillé / ensoleillées
de beste zomer van mijn leven,le meilleur été de ma vie
Enkele taken zijn saai.,Certaines tâches sont ennuyeuses.
Er zijn goede en slechte kanten.,Il y a de bons et de mauvais côtés.
Geen enkele dag is hetzelfde.,Aucun jour n’est identique.
Ik heb het goed naar mijn zin op vakantie.,Mes vacances se passent bien.
Ik wil met veel mensen in contact komen.,Je veux entrer en contact avec beaucoup de monde.
Je gaat van de ene taal naar de andere.,On passe d’une langue à l’autre.
met een verbazingwekkende snelheid,à une vitesse impressionnante
le comédien,de acteur
s’inscrire,zich inschrijven
en tout cas,in ieder geval
être un mordu de,bezeten zijn van
la volonté,de wil
le milieu du spectacle,de toneelwereld
démonter,uit elkaar halen
les briques,de bakstenen
un gosse,een kind
entrer en scène,het toneel opgaan
les applaudissements,het applaus
le plateau,het toneel
récompenser,belonen
le cachet,het honorarium
que ce soit … ou …,of het nu … of …
méconnu,miskend
le carreau,het vakgebied
une centaine,een honderdtal
l’inimitié (v),de vijandigheid
à côté de ça,daarnaast
à ce niveau-là,wat dat betreft
susciter,oproepen
avoir accès à,toegang hebben tot
considérer comme,beschouwen als
craindre,vrezen
exigeant,veeleisend
l’échec (m),de mislukking
la consigne,de instructie
la cour,de hofhouding
la force,de kracht
la prudence,de voorzichtigheid
la vertu,de deugd
le sens figuré,de figuurlijke betekenis
le sens propre,de letterlijke betekenis
maîtriser,beheersen
présenter quelqu’un,iemand voorstellen
rappeler à l’ordre,tot de orde roepen
se mettre en colère,boos worden
tomber,vallen
tous les jours,elke dag
un éducateur,een opvoeder
un époux,een echtgenoot
un mariage d’amour,een huwelijk uit liefde
basculer,kantelen
cacher,verbergen
décider,besluiten
découper,knippen
démarrer,beginnen
diffuser,verspreiden
en rester là,het erbij laten
fidèle,trouw
la blague,de grap
la cicatrice,het litteken
la colère,de woede
la partie,het deel
la parution,de verschijning
la pub (publicité),de reclame
la singularité,de bijzonderheid
le combat,de strijd
le contenu,de inhoud
le soutien,de steun
raccourcir,korter maken
soudain,plotseling
un exilé,een banneling
un imprimeur,een drukker
une étoile,een ster
grandiose,groots
l’erreur,de vergissing
la réussite,het succes
la virtuosité,de virtuositeit
le problème,het probleem
pas crédible,niet geloofwaardig
risible,lachwekkend
un acteur convaincant,een overtuigend acteur
un dialogue plat,een alledaagse dialoog
consulter,raadplegen
en abondance,in overvloed
l’accès illimité (m),de onbeperkte toegang
la bonne conscience,het goede geweten
le recueil de poésie,de dichtbundel
les photos numériques,de digitale foto’s
pratique,handig
télécharger un fichier,een bestand downloaden
un ouvrage scientifique,een wetenschappelijk werk
de bijbaan,le petit boulot
de vrijetijdsbesteding,le passe-temps
downloaden,télécharger
internetten,surfer sur le web
spijt hebben van,regretter
uit je dak gaan,s’éclater
verzinnen,inventer
vrijgezel,célibataire
zich voorstellen,se présenter
Ga je vaak naar de stad?,Tu vas souvent en ville ?
Ik ga je de vragen stellen.,Je vais te poser les questions.
Waar denk je aan?,Tu penses à quoi ?
Wat is je lievelingswinkel?,Quel est ton magasin préféré ?
Wat lees je graag?,Qu’est-ce que tu aimes lire ?
Wij zijn leerlingen van … in …,Nous sommes des élèves de … à …
Wil je over je familie vertellen?,Veux-tu parler de ta famille ?
Woon je in het centrum van de stad?,Est-ce que tu habites dans le centre-ville ?
Zijn we klaar?,On est prêts ?
Zou je onze vragen willen beantwoorden?,Voudrais-tu répondre à nos questions?
beschikbaar zijn,être disponible
deelnemen aan,participer à
de duurzame energie,l'énergie renouvelable
de energiebron,la ressource en énergie
fossiel,fossile
de hedendaagse kunst,l’art contemporain
tonen / laten zien,montrer
het vakkenpakket,la filière
zich interesseren voor,s’intéresser à
zich richten op,se concentrer sur
de diversiteit van beroepen,la diversité des métiers
de toekomst van onze planeet,l’avenir de notre planète
de verantwoordelijkheid van de mens,la responsabilité des humains
een thema dat overeenkomt,un thème qui correspond à
een wandeling langs,une promenade à travers
hedendaagse kunstwerken,des oeuvres artistiques contemporaines
het park biedt aan,le parc propose
ik interesseer me voor,je m’intéresse à
op een verantwoorde manier gebruiken,utiliser d’une manière responsable
geschikt zijn voor,être fait pour
tegenover het milieu,face à l’environnement
tijdens de rondleiding,lors de la visite
avancer,voortgaan
désensabler,uit het zand losmaken
échelonner,faseren
être doué en,goed zijn in
fastidieux,saai
jusqu’au bout,tot het eind
l’autochtone,de oorspronkelijke bewoner
l’endroit (m),de plek
la balise,het baken
la boussole,het kompas
la gagne,de winst
la latitude,de breedtegraad
la longitude,de lengtegraad
la navigation,de koers en route bepalen
la pelle,de schep
le pilotage,het besturen
pousser,groeien
récupérer une somme,een bedrag binnenhalen
se munir de,bij zich hebben
se tromper,zich vergissen
un appareil,een apparaat
un bénévole,een vrijwilliger
une infirmière,een verpleegster
une règle,een liniaal
une sage-femme,een verloskundige
utilitaire,gebruiks-
au moins,minstens
avant de,voordat
la fréquentation,het regelmatig bezoeken
la trace,het spoor
le manque de,het gebrek aan
les transports en commun,het openbaar vervoer
moins souvent,minder vaak
nettoyer,schoonmaken
plus de,meer
plus que,meer dan
se réjouir,zich verheugen
bronzer,bruin worden
conçu (concevoir),ontworpen
démontrer,aantonen
efficace,doeltreffend
hâlé,gebruind
l’abus (m),het overmatig gebruik
l’apport (m),de bijdrage
la marque de,het bewijs van
le manque,het gemis
lier à,verbinden met
limiter,beperken
nettement,duidelijk
notamment,in het bijzonder
pâle,bleek
retirer,verwijderen
en avoir marre de,genoeg hebben van
affecter,treffen
brûler,verbranden
demeurer,blijven
l’entraînement (m),de training
solliciter,een beroep doen op
un rétroviseur,een achteruitkijkspiegel
un siècle,een eeuw
à voix haute,hardop
attentif,oplettend
au retour,bij terugkomst
auparavant,daarvoor
il me suffit de,ik hoef alleen maar
l’odeur (v),de geur
lisible,leesbaar
rapidement,snel
rien de mieux que,niets beter dan
à l’occasion de,ter gelegenheid van
attirer les foules,de menigte aantrekken
avouer,toegeven
exercer un métier,een beroep uitoefenen
l’estime (v),de waardering
le bruit,het lawaai
le complice,de medeplichtige
le hurlement,het geschreeuw
parmi,te midden van
pendant ce temps,ondertussen
à l’époque,toen
avoir honte de,zich schamen voor
être en baisse,afnemen
l’élection présidentielle (v),de presidentsverkiezing
la révolte,de opstand
plusieurs,verscheidene
résoudre,oplossen
beschadigen,nuire à
de vermoeidheid,la fatigue
de voeding,l’alimentation
een kou vatten,attraper un rhume
een long,un poumon
een nadeel,un désavantage
een voordeel,un avantage
evenwichtig,équilibré
gezond,sain
het belang,l’intérêt
het lichaam,le corps
letten op,faire attention à
toepassen,intégrer
verslaafd raken aan,devenir dépendant de
vet,gras
Dat hangt ervan af.,Ça dépend.
Dat is beslist niet waar.,Ce n’est pas du tout vrai.
Dat is inderdaad zo.,C’est tout à fait comme ça.
Dat is niet genoeg.,Cela ne suffit pas.
Dat is niet zo eenvoudig.,Ce n’est pas si simple.
Dat lijkt me,Il me semble que
Dat wil zeggen,Ça veut dire
Het is belangrijk om,Il est important de
Ik bevestig dat,Je confirme que
Ik constateer dat,Je constate que
Ik ontken dat,Je nie que
Ik weiger te accepteren dat,Je refuse d’accepter que
Ik zal je een ander argument/voorbeeld geven,Je vais te donner un autre argument.
Je moet beginnen met,Il faut commencer par
aan de kaak stellen,dénoncer
"het aankomen, zwaarder worden",la prise de poids
een bedreiging voor de gezondheid,une menace pour la santé
de consumenten,les consommateurs
de doeltreffendheid,l'efficacité
het is bewezen dat,il est prouvé que
een kwestie van,une question de
de reus,le géant
de slechte eetgewoontes,les mauvaises habitudes alimentaires
waar dan ook,n’importe où
wanneer dan ook,n’importe quand
7% van de Franse bevolking is zwaarlijvig.,7% de la population française est obèse.
de belangrijkste oorzaken van overgewicht,les causes principales de prise de poids
De Franse keuken heeft een goede reputatie.,La cuisine française a une bonne réputation.
de grote hoeveelheden,les grandes quantités
de invloed van fastfood op de gezondheid,l’impact des fast-foods sur la santé
dramatische gevolgen,des conséquences dramatiques
Men eet in Frankrijk voor het plezier.,"En France, on mange pour le plaisir."
avoir l’habitude de,gewend zijn om
cela me correspond,dat is echt iets voor mij
d’occasion,tweedehands
dernièrement,laatst
indigo,indigoblauw
l’artiste-peintre,de kunstschilder
l’entreprise (v),het bedrijf
la brocante,de rommelmarkt
la pièce,het kledingstuk
la soie,de zijde
la taille,de maat
le chanvre,de hennepplant
le chiffon,de kleding
le coup de coeur,de opwelling
le coup de foudre,liefde op het eerste gezicht
le prémisse,het uitgangspunt
le remplacement,de vervanging
le tissu,de stof
le vintage,gebruikte merkkleding
marron foncé,donkerbruin
mettre à jour,bijwerken
particulier,bijzonder
pas de soucis,geen zorgen
s’apercevoir,bemerken
sur commande,op bestelling
sur mesure,op maat
un échantillon,een monster
accumuler,opstapelen
être confronté à,geconfronteerd worden met
être divisé en,verdeeld zijn in
être formé de,gevormd zijn door
l’exception (v),de uitzondering
l’immigration clandestine (v),de illegale immigratie
l’indépendance (v),de onafhankelijkheid
la difficulté,de moeilijkheid
la métropole,het moederland
le chômage,de werkloosheid
le drame humain,het menselijk drama
le kilomètre carré,de vierkante kilometer
le niveau de vie,de levensstandaard
le paysage de rêve,het droomlandschap
le seuil de pauvreté,de armoedegrens
outre-mer,overzee
accéder à,toegang hebben tot
bénéficier,profiteren
constituer,bestaan uit
éditer,afdrukken
en cours de,gedurende
la borne,het paaltje
le bip (sonore),de piep (elektronisch)
le mode d’emploi,de gebruiksaanwijzing
le plan,de plattegrond
recharger,opladen
retentir,klinken
affaiblir,verzwakken
côtoyer,raken aan
descendre de,afstammen van
échapper à,ontsnappen aan
fuir,vluchten
la compagne,de vriendin
les soucis,de zorgen
peindre,schilderen
s’entendre avec,opschieten met
s’embarquer,inschepen
suffire,voldoende zijn
caractériser,kenmerken
considérablement,aanzienlijk
différemment,anders
l’adaptation réussie (v),de geslaagde bewerking
l’internaute,de internetgebruiker
l’oeuvre (v),het werk
la diffusion,de verspreiding
la sociabilité,de gezelligheid
la veille,de vooravond
limité,beperkt
minutieusement,zorgvuldig
nécessairement,noodzakelijk
non seulement … mais aussi,niet alleen … maar ook
particulièrement,in het bijzonder
témoigner,getuigen
une espèce en voie de disparition,een bedreigde diersoort
de collectie,la collection
de confectiekleding,le prêt-à-porter
de modeshow,le défilé de mode
"de ontwerper, de ontwerpster",le créateur
de tint,la teinte
de zijde,la soie
driehoekig,triangulaire
gedurfd,osé
gestreept,rayé
het leer,le cuir
het linnen,le lin
het model,le mannequin
het roestvrije staal,l’inox
het zilver,l’argent
rechthoekig,rectangulaire
scheef,oblique
vierkant,carré
Dat is typisch voor,C’est typique de
Dat ziet er vreemd uit.,Ça a l’air bizarre.
Dit is erg geslaagd.,C’est très réussi.
Hoe zou ik het zeggen?,Comment dirais-je ?
Jullie zijn welkom op,Vous êtes les bienvenus à
Volgens mij symboliseert dat,"Selon moi, cela symbolise"
"Wacht, ik zoek het woord.","Attends, je cherche le mot."
Wat een idee!,Quelle idée !
Wat is dat mooi!,Que c’est beau !
een aardbeving,un séisme
drie jaar geleden,il y a trois ans
beangstigend,angoissant
op het Franse vasteland,en métropole
de sfeer,l’ambiance
een sieraad,un bijou
staken,faire la grève
wantrouwend,méfiant
uit het moederland,métropolitain
zakken onder (temperatuur),descendre en-dessous de
zich hebben gehecht aan,s’être attaché à
zich opmaken,se maquiller
zich voelen,se sentir
Alles bevalt ons!,Tout nous convient !
Alles verloopt prima.,Tout se passe bien.
Alles wat het eiland te bieden heeft.,Tout ce que l’île a à offrir.
als vissen in het water,comme des poissons dans l’eau
"Wat me irriteert op Martinique, dat is","Ce qui m’énerve en Martinique, c’est"
De Antillianen zijn erg aardige mensen.,Les Antillais sont des gens très gentils.
Het niveau is niet geweldig.,Le niveau n’est pas le top du top.
Je went eraan.,On s’y habitue.
appartenir à,eigendom zijn van
commettre une erreur,een vergissing begaan
dégénérer en,ontaarden in
espérer,hopen
exiger,eisen
franchir,overschrijden
l’espoir (m),de hoop
la chaîne,de keten
la fuite,de vlucht
la Manche,het Kanaal
la voie publique,de openbare weg
le casseur,de herrieschopper
le dégoût,de afkeer
le local,de ruimte
le réseau social,het sociale netwerk
le tribunal,de rechtbank
menotter,in de (hand)boeien slaan
meurt,sterft
nier,ontkennen
ramper,kruipen
s’enfuir,vluchten
saccager,plunderen
se lancer dans l’événementiel,in de evenementorganisatie gaan
susceptible de,(wellicht) kunnen
une amende,een boete
valide,geldig
vandaliser,vernielen
vanter,aanprijzen
cohabiter,samenwonen
connaître par coeur,uit je hoofd kennen
échouer,falen
faire des conneries,stommiteiten uithalen
la confiance en soi,het zelfvertrouwen
la danse contemporaine,de hedendaagse dans
le pari,de weddenschap
grave,erg
mélanger,vermengen
offrir,aanbieden
rigoler,lachen
tenter,proberen
voir plus loin,verder kijken
admettre,toelaten
éloigné,verwijderd
habile,handig
la maîtrise,de beheersing
le comportement,het gedrag
l’intimité (v),de intimiteit
l’ordinateur (m),de computer
nuire à,schaden
s’exprimer,zich uitdrukken
sanglant,gewelddadig
utiliser,gebruiken
apprendre à,leren om
avoir une aversion envers,een afkeer hebben van
faire un effort,presteren
la haine,de haat
la peur,de angst
la ségrégation,de segregatie
la stupidité,de domheid
souffrir de,lijden onder
l’hypocrisie (v),de schijnheiligheid
l’injustice (v),de onrechtvaardigheid
à durée indéterminée,voor onbepaalde tijd
aboutir à,uitlopen op
être revendicatif,veeleisend zijn
forcément,noodzakelijkerwijs
l’autonomie financière (v),de financiële onafhankelijkheid
l’établissement (m),de instelling
la fatigue,de vermoeidheid
la main-d’oeuvre,de arbeidskracht
la preuve,het bewijs
le décrochage,het afhaken
le mobile,de beweegreden
le pair,de leeftijdgenoot
le salarié,de werknemer
le travail rémunéré,betaald werk
le souci,de zorg
mettre à l’épreuve,op de proef stellen
se débrouiller,zich redden
travailler en intérim,als invalkracht werken
bij ons thuis,chez nous
blijkbaar,apparemment
de geldzorgen,les soucis d’argent
de zeden,les moeurs
een ruzie,une dispute
genieten van,profiter de
gewoonlijk,normalement
(goed) contact hebben met,avoir un bon contact avec
hard,dur
iets aan iemand uitleggen,expliquer quelque chose à quelqu’un
opgeven,renoncer
ploeteren,galérer
studeren (in het buitenland),faire des études
uit elkaar gaan,se séparer
wennen aan,s’habituer à
zich zorgen maken over,s’inquiéter de
Als je … en … met elkaar vergelijkt,Si l’on compare … avec …
Dan zie je dat,On constate que
Dat ziet er echt ingewikkeld uit.,Ça a vraiment l’air compliqué.
Er zijn weinig verschillen tussen,Il y a peu de différences entre
Het grootste verschil is,La différence la plus importante est
Ik mis je!,Tu me manques !
Maak je geen zorgen!,Ne t’inquiète pas !
Overdrijf niet zo!,N’exagère pas !
Wat denk jij daarvan?,Qu’est-ce que tu en penses ?
Wij hebben de gewoonte om te,Nous avons l’habitude de
een eenoudergezin,une famille monoparentale
hertrouwen,se remarier
het hoofd bieden aan,faire face à
onophoudelijk,sans cesse
met elkaar omgaan,se côtoyer
een samengesteld gezin,une famille recomposée
scheiden,divorcer
de stiefmoeder / de schoonmoeder,la belle-mère
de stiefvader / de schoonvader,le beau-père
de verdeling,la répartition
vergelijkbaar,comparable
veroorzaakt worden door,être occasionné par
"vol van/met, veel",plein de
het welzijn,le bien-être
zich op zijn gemak voelen,se sentir à l’aise
zo goed als,quasiment
Daarvan raak ik gestrest.,Cela me stresse.
Een sociale bescherming,Une protection sociale
Het is goed bedoeld.,Cela part d’un bon sentiment.
Het waren vaak conflictrelaties.,Les relations étaient souvent conflictuelles.
Je ontdekt een hoop dingen.,On découvre plein de choses.
Om te slagen in ons leven,Pour pouvoir réussir notre vie
Onder de verantwoordelijkheid van,Sous la responsabilité de
Onder hetzelfde dak,Sous le même toit
Ze zetten ons onder druk.,On nous met la pression.
apte à,in staat tot
avoir de quoi vivre,genoeg hebben om van te leven
congelé,diepvries-
gérer,beheren
l’étagère (v),het wandrek
la dignité,de waardigheid
la fiche,de kaart
la gestionnaire,de beheerder
la retraite,het pensioen
le lien,de band
le montant,het bedrag
le panier,het boodschappenmandje
les lentilles,de linzen
les moyens,de middelen
les pâtes,de pasta
rompre,verbreken
un atelier de cuisine,een workshop koken
un plat cuisiné,een kant-en-klaargerecht
une famille monoparentale,een eenoudergezin
vraisemblablement,hoogstwaarschijnlijk
économe,zuinig
l’environnement (m),het milieu
l’angoisse (v),de angst
le jugement,het oordeel
nourrir,voeden
révéler,onthullen
transmettre,overdragen
un aliment,een voedingsmiddel
à perte de vue,onafzienbaar
au profit de,ten gunste van
citadin,stedelijk
déserter,verlaten
garder à l’esprit,in gedachten houden
l’agrément (m),het genoegen
l’arbre (m),de boom
l’herbe (v),het gras
la campagne,het platteland
lassé de,vermoeid
quotidien(ne),dagelijks
la terre,de grond
la verdure,het groen
le bitume,het asfalt
le chemin,de weg
vague,vaag
près les uns des autres,dicht bij elkaar
ravi,dolblij
recevoir des gens,mensen ontvangen
sans aucun doute,zonder twijfel
des bocaux en verre,glazen potten
être issu de,afkomstig zijn van
insister,aandringen
la joue,de wang
persuader,overtuigen
progressivement,geleidelijk
ranger,opruimen
la récup’ (récupération),de kringloop
réduire,verminderen
relever un défi,een uitdaging aangaan
la sobriété,de soberheid
si bien que,zodat
superflu,overbodig
au cours de,in de loop van
l’agence de voyages (v),het reisbureau
l’essence (v),de benzine
l’exode rural (m),de leegloop van het platteland
la baisse,de daling
la contestation,de tegenwerping
la valise,de koffer
la vogue,de trend
le baigneur,de badgast
le mode de vie,de levensstijl
le pouvoir d’achat,de koopkracht
le sentier,het voetpad
les congés payés,de betaalde vakantie
passer l’hiver,de winter doorbrengen
se distinguer,zich onderscheiden
un randonneur,een wandelaar
une hausse,een verhoging
bewijzen,démontrer
de consumptie,la consommation
de olie,le pétrole
de steenkool,le charbon
de verspilling,le gaspillage
de vervuiling,la pollution
de zonne-energie,l’énergie solaire
een windmolen,une éolienne
het aardgas,le gaz naturel
het afval,le déchet
het broeikaseffect,l’effet de serre
het poolijs,la glace polaire
het vervoer,le transport
opslaan,stocker
schoon,propre
veroorzaken,engendrer
Dat is niet waar!,Ce n’est pas vrai !
Er zijn heel wat factoren,Il y a bien des facteurs
Het gevolg ervan is dat,La conséquence en est que
Het klimaat wordt warmer.,Le climat se réchauffe.
Maak je niet druk.,Ne t’en fais pas.
Wat vertel je nu?,Qu’est-ce que tu racontes ?
We moeten nu iets doen!,Il faut agir maintenant !
Wij moeten onze manier van leven veranderen.,Il faut que nous changions notre manière de vivre.
’s avonds,le soir
belast zijn met,être chargé de
bewust maken van,sensibiliser à
de gelegenheid hebben om,avoir l’occasion de
doeltreffend zijn,être efficace
een emmer,un seau
hoe het ook zij,quoi qu’il en soit
maatschappelijk betrokken,engagé
ongetwijfeld,sans doute
zich inzetten voor,s’investir dans
tevergeefs,en vain
Dat heeft ons zeer veel tijd gekost.,Cela nous a pris énormément de temps.
de kans geven om,offrir la possibilité de
de rechten van kinderen,les droits des enfants
dingen veranderen,changer les choses
een avond doorbrengen,passer une soirée
een deur openen,ouvrir une porte
gedurende de hele avond,tout au long de la soirée
het belangrijkste evenement,l’événement le plus important
Ik herinner mij nog goed dat,Je me souviens bien que
Welkom op mijn blog.,Bienvenue sur mon blog.
Wij hebben geprobeerd om te,Nous avons tenté de
consécutif,achtereenvolgend
d’ailleurs,trouwens
faire des recherches,onderzoek doen
généralement,in het algemeen
l’enregistrement (m),de opname
l’intention (v),de bedoeling
l’orateur (m),de spreker
la base de données,een database
la langue maternelle,de moedertaal
le glossaire,de woordenlijst
oral,gesproken
petit à petit,langzaamaan
prendre la relève,de beurt overnemen
simultané,gelijktijdig
un concours,een examen
un interprète,een tolk
une boîte privée,een particulier bedrijf
croiser le chemin de quelqu’un,iemand tegenkomen
en partant,door te vertrekken
être réceptif à,ontvankelijk zijn voor
germer,ontkiemen
l’interlocuteur (m),de gesprekspartner
la barrière,de afsluiting
la vocation,de roeping
le fil conducteur,de rode draad
mener une enquête,een onderzoek leiden
rédiger,schrijven
à compter de,vanaf
au sein de,in
devenir membre,lid worden
initier,inwijden
l’agriculture biologique (v),de biologische landbouw
l’association (v),de vereniging
l’échange de services (m),de uitwisseling van diensten
la date de souscription,de datum van inschrijving
la reconnaissance,de dankbaarheid
la validité d’une inscription,de geldigheid van een inschrijving
le numéro d’adhérent,het lidmaatschapsnummer
le quotidien,het dagelijks leven
mettre en relation,in contact brengen
relater,vertellen
s’accrocher,zich vastklampen
agir,handelen
alterner,afwisselen
au bout de,aan het einde van
conscient,bewust
franchir le pas,de sprong wagen
